date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-11,WT0001L2,control,F,ASM,1,3,16,0,2
2023-07-11,WT0001L2,control,F,ASM,2,3,20,0,2
2023-07-11,WT0001L2,control,F,ASM,3,3,10,0,2
2023-07-11,WT0001L2,control,F,ASM,4,3,16,0,2
2023-07-11,WT0001L2,control,F,ASM,5,3,22,0,2
2023-07-11,WT0001L2,control,F,ASM,6,3,20,0,2
2023-07-11,WT0001L2,control,F,ASM,7,3,12,0,1
2023-07-11,WT0001L2,control,F,ASM,8,3,16,0,2
2023-07-11,WT0001L2,control,F,ASM,9,3,18,0,2
2023-07-11,WT0001L2,control,F,ASM,10,3,16,0,0
2023-07-11,WT0001L2,control,F,ASM,11,3,12,0,2
2023-07-11,WT0001L2,control,F,ASM,12,3,12,0,1
2023-07-11,WT0001L2,control,F,ASM,13,3,10,0,1
2023-07-11,WT0001L2,control,F,ASM,14,3,18,0,2
2023-07-11,WT0001L2,control,F,ASM,15,3,16,0,2
2023-07-11,WT0001L2,control,F,ASM,16,3,16,0,2
2023-07-11,WT0001L2,control,F,ASM,17,3,22,0,2
2023-07-11,WT0001L2,control,F,ASM,18,3,12,0,2
2023-07-11,WT0001L2,control,F,ASM,19,3,12,0,2
2023-07-11,WT0001L2,control,F,ASM,20,3,10,0,0
2023-07-11,WT0001L2,control,F,ASM,21,3,22,0,2
2023-07-11,WT0001L2,control,F,ASM,22,3,14,0,1
2023-07-11,WT0001L2,control,F,ASM,23,3,22,0,2
2023-07-11,WT0001L2,control,F,ASM,24,3,22,0,0
2023-07-11,WT0001L2,control,F,ASM,25,3,12,0,2
2023-07-11,WT0001L2,control,F,ASM,26,3,22,0,1
2023-07-11,WT0001L2,control,F,ASM,27,3,12,0,1
2023-07-11,WT0001L2,control,F,ASM,28,3,22,0,2
2023-07-11,WT0001L2,control,F,ASM,29,3,12,0,2
2023-07-11,WT0001L2,control,F,ASM,30,3,12,0,2
2023-07-11,WT0001L2,control,F,ASM,31,3,20,0,2
2023-07-11,WT0001L2,control,F,ASM,32,3,20,0,2
2023-07-11,WT0001L2,control,F,ASM,33,3,22,0,2
2023-07-11,WT0001L2,control,F,ASM,34,3,22,0,2
2023-07-11,WT0001L2,control,F,ASM,35,3,12,0,2
2023-07-11,WT0001L2,control,F,ASM,36,3,20,0,2
2023-07-11,WT0001L2,control,F,ASM,37,3,18,0,2
2023-07-11,WT0001L2,control,F,ASM,38,3,18,0,2
2023-07-11,WT0001L2,control,F,ASM,39,3,16,0,2
2023-07-11,WT0001L2,control,F,ASM,40,3,14,0,2
2023-07-11,WT0001L2,control,F,ASM,41,3,14,0,1
2023-07-11,WT0001L2,control,F,ASM,42,3,12,0,1
2023-07-11,WT0001L2,control,F,ASM,43,3,18,0,2
2023-07-11,WT0001L2,control,F,ASM,44,3,16,0,2
2023-07-11,WT0001L2,control,F,ASM,45,3,14,0,2
2023-07-11,WT0001L2,control,F,ASM,46,3,14,0,1
2023-07-11,WT0001L2,control,F,ASM,47,3,12,0,2
2023-07-11,WT0001L2,control,F,ASM,48,3,16,0,0
2023-07-11,WT0001L2,control,F,ASM,49,3,22,0,0
2023-07-11,WT0001L2,control,F,ASM,50,3,14,0,1
