date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-11,WT0002R1,control,M,HJO,1,3,18,0,2
2023-07-11,WT0002R1,control,M,HJO,2,3,22,0,2
2023-07-11,WT0002R1,control,M,HJO,3,3,18,0,2
2023-07-11,WT0002R1,control,M,HJO,4,3,14,0,2
2023-07-11,WT0002R1,control,M,HJO,5,3,10,0,2
2023-07-11,WT0002R1,control,M,HJO,6,3,20,0,2
2023-07-11,WT0002R1,control,M,HJO,7,3,12,0,2
2023-07-11,WT0002R1,control,M,HJO,8,3,22,0,2
2023-07-11,WT0002R1,control,M,HJO,9,3,12,0,2
2023-07-11,WT0002R1,control,M,HJO,10,3,18,0,2
2023-07-11,WT0002R1,control,M,HJO,11,3,20,0,2
2023-07-11,WT0002R1,control,M,HJO,12,3,10,0,2
2023-07-11,WT0002R1,control,M,HJO,13,3,18,0,1
2023-07-11,WT0002R1,control,M,HJO,14,3,14,0,2
2023-07-11,WT0002R1,control,M,HJO,15,3,16,0,2
2023-07-11,WT0002R1,control,M,HJO,16,3,18,0,2
2023-07-11,WT0002R1,control,M,HJO,17,3,10,0,2
2023-07-11,WT0002R1,control,M,HJO,18,3,14,0,1
2023-07-11,WT0002R1,control,M,HJO,19,3,12,0,2
2023-07-11,WT0002R1,control,M,HJO,20,3,12,0,1
2023-07-11,WT0002R1,control,M,HJO,21,3,10,0,2
2023-07-11,WT0002R1,control,M,HJO,22,3,12,0,0
2023-07-11,WT0002R1,control,M,HJO,23,3,10,0,0
2023-07-11,WT0002R1,control,M,HJO,24,3,18,0,1
2023-07-11,WT0002R1,control,M,HJO,25,3,14,0,2
2023-07-11,WT0002R1,control,M,HJO,26,3,18,0,1
2023-07-11,WT0002R1,control,M,HJO,27,3,16,0,2
2023-07-11,WT0002R1,control,M,HJO,28,3,14,0,2
2023-07-11,WT0002R1,control,M,HJO,29,3,12,0,1
2023-07-11,WT0002R1,control,M,HJO,30,3,16,0,2
2023-07-11,WT0002R1,control,M,HJO,31,3,18,0,1
2023-07-11,WT0002R1,control,M,HJO,32,3,20,0,2
2023-07-11,WT0002R1,control,M,HJO,33,3,12,0,1
2023-07-11,WT0002R1,control,M,HJO,34,3,22,0,2
2023-07-11,WT0002R1,control,M,HJO,35,3,14,0,1
2023-07-11,WT0002R1,control,M,HJO,36,3,20,0,2
2023-07-11,WT0002R1,control,M,HJO,37,3,20,0,2
2023-07-11,WT0002R1,control,M,HJO,38,3,16,0,2
2023-07-11,WT0002R1,control,M,HJO,39,3,16,0,0
2023-07-11,WT0002R1,control,M,HJO,40,3,18,0,2
2023-07-11,WT0002R1,control,M,HJO,41,3,16,0,1
2023-07-11,WT0002R1,control,M,HJO,42,3,14,0,1
2023-07-11,WT0002R1,control,M,HJO,43,3,18,0,2
2023-07-11,WT0002R1,control,M,HJO,44,3,10,0,1
2023-07-11,WT0002R1,control,M,HJO,45,3,22,0,2
2023-07-11,WT0002R1,control,M,HJO,46,3,18,0,1
2023-07-11,WT0002R1,control,M,HJO,47,3,12,0,1
