date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-13,WT0002L1,control,M,JHO,1,3,16,0,2
2023-07-13,WT0002L1,control,M,JHO,2,3,18,0,2
2023-07-13,WT0002L1,control,M,JHO,3,3,18,0,2
2023-07-13,WT0002L1,control,M,JHO,4,3,20,0,2
2023-07-13,WT0002L1,control,M,JHO,5,3,14,0,2
2023-07-13,WT0002L1,control,M,JHO,6,3,16,0,0
2023-07-13,WT0002L1,control,M,JHO,7,3,10,0,1
2023-07-13,WT0002L1,control,M,JHO,8,3,20,0,2
2023-07-13,WT0002L1,control,M,JHO,9,3,12,0,1
2023-07-13,WT0002L1,control,M,JHO,10,3,20,0,2
2023-07-13,WT0002L1,control,M,JHO,11,3,16,0,2
2023-07-13,WT0002L1,control,M,JHO,12,3,22,0,2
2023-07-13,WT0002L1,control,M,JHO,13,3,18,0,2
2023-07-13,WT0002L1,control,M,JHO,14,3,14,0,1
2023-07-13,WT0002L1,control,M,JHO,15,3,12,0,2
2023-07-13,WT0002L1,control,M,JHO,16,3,10,0,1
2023-07-13,WT0002L1,control,M,JHO,17,3,20,0,2
2023-07-13,WT0002L1,control,M,JHO,18,3,16,0,1
2023-07-13,WT0002L1,control,M,JHO,19,3,20,0,2
2023-07-13,WT0002L1,control,M,JHO,20,3,18,0,2
2023-07-13,WT0002L1,control,M,JHO,21,3,14,0,2
2023-07-13,WT0002L1,control,M,JHO,22,3,10,0,0
2023-07-13,WT0002L1,control,M,JHO,23,3,22,0,1
2023-07-13,WT0002L1,control,M,JHO,24,3,16,0,1
2023-07-13,WT0002L1,control,M,JHO,25,3,12,0,2
2023-07-13,WT0002L1,control,M,JHO,26,3,22,0,0
2023-07-13,WT0002L1,control,M,JHO,27,3,20,0,0
2023-07-13,WT0002L1,control,M,JHO,28,3,20,0,1
2023-07-13,WT0002L1,control,M,JHO,29,3,10,0,2
2023-07-13,WT0002L1,control,M,JHO,30,3,18,0,0
2023-07-13,WT0002L1,control,M,JHO,31,3,22,0,1
2023-07-13,WT0002L1,control,M,JHO,32,3,18,0,1
2023-07-13,WT0002L1,control,M,JHO,33,3,14,0,1
2023-07-13,WT0002L1,control,M,JHO,34,3,10,0,2
2023-07-13,WT0002L1,control,M,JHO,35,3,14,0,0
2023-07-13,WT0002L1,control,M,JHO,36,3,18,0,1
2023-07-13,WT0002L1,control,M,JHO,37,3,10,0,2
2023-07-13,WT0002L1,control,M,JHO,38,3,20,0,0
2023-07-13,WT0002L1,control,M,JHO,39,3,10,0,2
2023-07-13,WT0002L1,control,M,JHO,40,3,10,0,1
2023-07-13,WT0002L1,control,M,JHO,41,3,20,0,1
2023-07-13,WT0002L1,control,M,JHO,42,3,14,0,2
2023-07-13,WT0002L1,control,M,JHO,43,3,10,0,1
2023-07-13,WT0002L1,control,M,JHO,44,3,18,0,1
2023-07-13,WT0002L1,control,M,JHO,45,3,10,0,2
2023-07-13,WT0002L1,control,M,JHO,46,3,10,0,0
2023-07-13,WT0002L1,control,M,JHO,47,3,22,0,2
2023-07-13,WT0002L1,control,M,JHO,48,3,18,0,1
2023-07-13,WT0002L1,control,M,JHO,49,3,20,0,0
2023-07-13,WT0002L1,control,M,JHO,50,3,20,0,0
2023-07-13,WT0002L1,control,M,JHO,51,3,18,0,2
2023-07-13,WT0002L1,control,M,JHO,52,3,20,0,2
2023-07-13,WT0002L1,control,M,JHO,53,3,22,0,1
