date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-24,WT0002L1,control,M,ACN,1,3,20,0,2
2023-07-24,WT0002L1,control,M,ACN,2,1,10,0,1
2023-07-24,WT0002L1,control,M,ACN,3,2,20,0,2
2023-07-24,WT0002L1,control,M,ACN,4,1,10,0,1
2023-07-24,WT0002L1,control,M,ACN,5,3,20,0,0
2023-07-24,WT0002L1,control,M,ACN,6,3,20,0,1
2023-07-24,WT0002L1,control,M,ACN,7,3,16,0,1
2023-07-24,WT0002L1,control,M,ACN,8,3,18,0,1
2023-07-24,WT0002L1,control,M,ACN,9,3,20,0,1
2023-07-24,WT0002L1,control,M,ACN,10,3,14,0,1
2023-07-24,WT0002L1,control,M,ACN,11,3,10,0,1
2023-07-24,WT0002L1,control,M,ACN,12,3,16,0,1
2023-07-24,WT0002L1,control,M,ACN,13,3,18,0,1
2023-07-24,WT0002L1,control,M,ACN,14,3,12,0,1
2023-07-24,WT0002L1,control,M,ACN,15,3,12,0,1
2023-07-24,WT0002L1,control,M,ACN,16,3,12,0,1
2023-07-24,WT0002L1,control,M,ACN,17,3,16,0,1
2023-07-24,WT0002L1,control,M,ACN,18,3,16,0,1
2023-07-24,WT0002L1,control,M,ACN,19,3,20,0,1
2023-07-24,WT0002L1,control,M,ACN,20,3,20,0,1
2023-07-24,WT0002L1,control,M,ACN,21,3,10,0,1
2023-07-24,WT0002L1,control,M,ACN,22,3,16,0,0
2023-07-24,WT0002L1,control,M,ACN,23,3,14,0,1
2023-07-24,WT0002L1,control,M,ACN,24,3,18,0,1
2023-07-24,WT0002L1,control,M,ACN,25,3,12,0,1
2023-07-24,WT0002L1,control,M,ACN,26,3,18,0,1
2023-07-24,WT0002L1,control,M,ACN,27,3,14,0,1
2023-07-24,WT0002L1,control,M,ACN,28,5,18,0,1
2023-07-24,WT0002L1,control,M,ACN,29,3,20,0,1
2023-07-24,WT0002L1,control,M,ACN,30,3,12,0,1
2023-07-24,WT0002L1,control,M,ACN,31,1,18,0,2
2023-07-24,WT0002L1,control,M,ACN,32,3,16,0,1
2023-07-24,WT0002L1,control,M,ACN,33,1,18,0,1
2023-07-24,WT0002L1,control,M,ACN,34,5,18,0,1
2023-07-24,WT0002L1,control,M,ACN,35,3,18,0,1
2023-07-24,WT0002L1,control,M,ACN,36,5,14,0,1
2023-07-24,WT0002L1,control,M,ACN,37,3,10,0,1
2023-07-24,WT0002L1,control,M,ACN,38,3,14,0,2
2023-07-24,WT0002L1,control,M,ACN,39,3,18,0,2
2023-07-24,WT0002L1,control,M,ACN,40,2,10,0,1
2023-07-24,WT0002L1,control,M,ACN,41,3,18,0,2
2023-07-24,WT0002L1,control,M,ACN,42,3,18,0,2
2023-07-24,WT0002L1,control,M,ACN,43,3,12,0,1
2023-07-24,WT0002L1,control,M,ACN,44,3,14,0,1
2023-07-24,WT0002L1,control,M,ACN,45,3,14,0,2
2023-07-24,WT0002L1,control,M,ACN,46,4,12,0,1
2023-07-24,WT0002L1,control,M,ACN,47,1,14,0,2
2023-07-24,WT0002L1,control,M,ACN,48,3,14,0,2
2023-07-24,WT0002L1,control,M,ACN,49,3,16,0,1
2023-07-24,WT0002L1,control,M,ACN,50,3,20,0,2
2023-07-24,WT0002L1,control,M,ACN,51,3,12,0,1
2023-07-24,WT0002L1,control,M,ACN,52,3,12,0,2
2023-07-24,WT0002L1,control,M,ACN,53,3,20,0,2
2023-07-24,WT0002L1,control,M,ACN,54,2,20,0,2
2023-07-24,WT0002L1,control,M,ACN,55,3,18,0,2
2023-07-24,WT0002L1,control,M,ACN,56,3,12,0,1
2023-07-24,WT0002L1,control,M,ACN,57,3,12,0,2
2023-07-24,WT0002L1,control,M,ACN,58,3,20,0,2
2023-07-24,WT0002L1,control,M,ACN,59,2,14,0,2
2023-07-24,WT0002L1,control,M,ACN,60,5,18,0,1
2023-07-24,WT0002L1,control,M,ACN,61,3,10,0,2
2023-07-24,WT0002L1,control,M,ACN,62,3,10,0,1
2023-07-24,WT0002L1,control,M,ACN,63,3,20,0,2
2023-07-24,WT0002L1,control,M,ACN,64,4,20,0,2
2023-07-24,WT0002L1,control,M,ACN,65,1,14,0,1
