date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-21,WT0001L2,control,F,JHO,1,3,10,0,2
2023-07-21,WT0001L2,control,F,JHO,2,3,14,0,2
2023-07-21,WT0001L2,control,F,JHO,3,1,20,0,2
2023-07-21,WT0001L2,control,F,JHO,4,3,20,0,2
2023-07-21,WT0001L2,control,F,JHO,5,3,20,0,2
2023-07-21,WT0001L2,control,F,JHO,6,3,12,0,2
2023-07-21,WT0001L2,control,F,JHO,7,2,18,0,2
2023-07-21,WT0001L2,control,F,JHO,8,3,12,0,2
2023-07-21,WT0001L2,control,F,JHO,9,3,18,0,2
2023-07-21,WT0001L2,control,F,JHO,10,3,18,0,2
2023-07-21,WT0001L2,control,F,JHO,11,5,16,0,2
2023-07-21,WT0001L2,control,F,JHO,12,3,12,0,2
2023-07-21,WT0001L2,control,F,JHO,13,3,14,0,2
2023-07-21,WT0001L2,control,F,JHO,14,1,18,0,2
2023-07-21,WT0001L2,control,F,JHO,15,3,14,0,2
2023-07-21,WT0001L2,control,F,JHO,16,3,20,0,2
2023-07-21,WT0001L2,control,F,JHO,17,1,12,0,1
2023-07-21,WT0001L2,control,F,JHO,18,3,14,0,1
2023-07-21,WT0001L2,control,F,JHO,19,3,14,0,1
2023-07-21,WT0001L2,control,F,JHO,20,3,18,0,1
2023-07-21,WT0001L2,control,F,JHO,21,3,12,0,1
2023-07-21,WT0001L2,control,F,JHO,22,3,18,0,1
2023-07-21,WT0001L2,control,F,JHO,23,3,20,0,0
2023-07-21,WT0001L2,control,F,JHO,24,3,12,0,1
2023-07-21,WT0001L2,control,F,JHO,25,5,12,0,1
2023-07-21,WT0001L2,control,F,JHO,26,3,16,0,1
2023-07-21,WT0001L2,control,F,JHO,27,3,18,0,1
2023-07-21,WT0001L2,control,F,JHO,28,3,20,0,2
2023-07-21,WT0001L2,control,F,JHO,29,3,12,0,1
2023-07-21,WT0001L2,control,F,JHO,30,3,14,0,1
2023-07-21,WT0001L2,control,F,JHO,31,3,12,0,1
2023-07-21,WT0001L2,control,F,JHO,32,3,12,0,1
2023-07-21,WT0001L2,control,F,JHO,33,3,10,0,1
2023-07-21,WT0001L2,control,F,JHO,34,2,10,0,1
2023-07-21,WT0001L2,control,F,JHO,35,3,16,0,1
2023-07-21,WT0001L2,control,F,JHO,36,3,10,0,1
2023-07-21,WT0001L2,control,F,JHO,37,5,14,0,1
2023-07-21,WT0001L2,control,F,JHO,38,3,14,0,1
2023-07-21,WT0001L2,control,F,JHO,39,3,18,0,2
2023-07-21,WT0001L2,control,F,JHO,40,3,12,0,1
2023-07-21,WT0001L2,control,F,JHO,41,3,10,0,2
2023-07-21,WT0001L2,control,F,JHO,42,5,14,0,2
2023-07-21,WT0001L2,control,F,JHO,43,3,12,0,2
2023-07-21,WT0001L2,control,F,JHO,44,3,12,0,1
2023-07-21,WT0001L2,control,F,JHO,45,3,10,0,2
2023-07-21,WT0001L2,control,F,JHO,46,3,20,0,2
2023-07-21,WT0001L2,control,F,JHO,47,3,10,0,1
2023-07-21,WT0001L2,control,F,JHO,48,3,12,0,2
